jahr;foerderungswerber;foerderungsart;medium;mediumtyp;gesetzlichegrundlage;foerderungsbetrag;"1. Teilbetrag";"2. Teilbetrag";grundbetrag;zusatzfoerderungen;redaktionsstatut;fehlermanagementsystem;"qualitätssicherungssystem";frauenfoerderplaene;"inhaltsvielfaltfoerderung";regional;international;status;ablehnungsgrund
"2024/2";"Die Furche-Zeitschriften-Betriebsgesellschaft m.b.H & Co KG";"Verteilung von Schüler-Abos";"DIE FURCHE";Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"31771,35";;;;;;;;;;;;abgeschlossen;
"2024/2";"Falter - Zeitschriften Gesellschaft m.b.H.";"Verteilung von Schüler-Abos";"FALTER Die Wochenzeitung aus Wien.";Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"19094,40";;;;;;;;;;;;abgeschlossen;
"2024/2";"Kroatischer Presseverein (Hrvatsko stamparsko drustvo)";"Verteilung von Schüler-Abos";"Hrvatske novine";Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"5376,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Diözese Linz";"Verteilung von Schüler-Abos";"Kirchenzeitung Diözese Linz";Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"368,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Kitzbüheler Anzeiger Gesellschaft m.b.H.";"Verteilung von Schüler-Abos";"Kitzbüheler Anzeiger";Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"1496,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Kleine Zeitung GmbH & Co KG";"Verteilung von Schüler-Abos";"Kleine Kinderzeitung";Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"10294,71";;;;;;;;;;;;abgeschlossen;
"2024/2";"Kleine Zeitung GmbH & Co KG";"Verteilung von Schüler-Abos";"Kleine Zeitung";Tageszeitung;"5. Abschnitt: § 13 QJF-G";"25087,26";;;;;;;;;;;;abgeschlossen;
"2024/2";"KRONE - Verlag Gesellschaft m.b.H. & Co. KG";"Verteilung von Schüler-Abos";"Kronen Zeitung";Tageszeitung;"5. Abschnitt: § 13 QJF-G";"31771,35";;;;;;;;;;;;abgeschlossen;
"2024/2";"KURIER Zeitungsverlag und Druckerei Gesellschaft m.b.H.";"Verteilung von Schüler-Abos";KURIER;Tageszeitung;"5. Abschnitt: § 13 QJF-G";"31771,35";;;;;;;;;;;;abgeschlossen;
"2024/2";"NEUE Zeitungs GmbH";"Verteilung von Schüler-Abos";"NEUE Vorarlberger Tageszeitung";Tageszeitung;"5. Abschnitt: § 13 QJF-G";"539,88";;;;;;;;;;;;abgeschlossen;
"2024/2";"VGN Medien Holding GmbH";"Verteilung von Schüler-Abos";News;Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"5369,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Niederösterreichisches Pressehaus Druck- und Verlagsgesellschaft m.b.H.";"Verteilung von Schüler-Abos";NÖN;Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"5169,89";;;;;;;;;;;;abgeschlossen;
"2024/2";"OÖN Redaktion GmbH & Co KG";"Verteilung von Schüler-Abos";OÖNachrichten;Tageszeitung;"5. Abschnitt: § 13 QJF-G";"31771,35";;;;;;;;;;;;abgeschlossen;
"2024/2";"Profil Redaktion GmbH";"Verteilung von Schüler-Abos";Profil;Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"10153,50";;;;;;;;;;;;abgeschlossen;
